track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key_x,mode_x,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,days_since_release,streams_per_day,artist_dominance,mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist,instance_id,artist_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key_y,liveness,loudness,mode_y,speechiness,tempo,obtained_date,valence,music_genre
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686.0,91,212,78,6,0,120,B,Minor,78,76,59,43,0,34,3,141,3523373.659574468,2,6d6eea35-52bb-4aeb-b4e6-3fd5b47654d2,Fifty Fifty,,Germany,,,,,,False,,,,,,,,,,,,,,,,,
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883.0,80,227,95,24,"1,173",78,,Major,44,14,9,96,0,10,3,2,15273441.5,5,f4abc0b5-3f7a-4eff-8f78-ac078dbce533,Billie Eilish,Billie Eilish,United States,,,,421966.0,19136414.0,False,,,,,,,,,,,,,,,,,
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234.0,43,100,54,14,187,100,B,Major,86,67,66,14,0,12,16,106,3162473.9056603773,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Like Crazy,Jimin,1,2023,3,24,596,68,363369738.0,8,104,23,2,29,120,G,Major,63,36,73,0,0,36,4,113,3215661.3982300884,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842.0,11,163,10,4,0,140,F,Minor,65,87,74,22,0,42,4,23,3758471.391304348,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248.0,73,119,42,1,150,123,F#,Major,69,82,76,6,0,6,3,8,6516906.0,34,20244d07-534f-4eff-b4d4-930878889970,Taylor Swift,Taylor Swift,United States,United States,pop; country; electropop; female vocals; dance-pop; pop rock; country pop; contemporary country; teen pop; top 40; country-pop; taylor-swift; singer/songwriter; fixme label mess; hp,country; pop; female vocalists; singer-songwriter; acoustic; taylor swift; country pop; american; seen live; female; pop rock; female vocalist; Love; 00s; contemporary country; USA; beautiful; folk; pop country; modern country; guilty pleasure; rock; amazing; taylor; world; chill; chillout; 3; World Music; sunflower; Skitz0rz; uitluisteren artist; holloween skitz0rz; fav888; my dance room; teen pop; <3; cute; Awesome; sweet; synthpop; Favorite; Female country; legend; talented; love story; 2000s; lovely,2203262.0,171760219.0,False,,,,,,,,,,,,,,,,,
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226.0,24,98,582,2,73,135,,Minor,48,44,42,12,2,11,3,3847,337152.6451780608,4,ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,Arctic Monkeys,Arctic Monkeys,United Kingdom,United Kingdom,alternative rock; british; uk; britannique; 2007; indie rock; indie; psychedelic pop; garage rock revival; post-punk revival; neo-psychedelia; english; domino; rock and indie,indie rock; indie; british; rock; alternative; seen live; alternative rock; britpop; arctic monkeys; Garage Rock; UK; brit rock; post-punk; 00s; Post-punk revival; Sheffield; punk; male vocalists; Britrock; pop; british rock; england; english; indie pop; want to see live; garage rock revival; punk rock; Psychedelic Rock,3501680.0,332306552.0,False,,,,,,,,,,,,,,,,,
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221.0,17,152,32,11,139,133,F,Minor,85,81,67,26,0,12,5,45,4458827.133333334,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561.0,74,182,87,14,"1,093",99,C#,Major,85,83,68,7,0,36,20,43,2682896.7674418604,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654.0,16,149,10,5,168,130,G,Minor,79,96,86,9,0,9,9,23,3404376.2608695654,2,e665ce26-6ce9-4c42-8f6a-7a361a0ba328,Fuerza Regida,Fuerza Regida,,,,,556.0,7816.0,False,,,,,,,,,,,,,,,,,
Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",2,2022,3,25,7112,77,899183384.0,202,119,318,38,96,107,B,Major,80,82,80,43,0,14,4,477,1885080.4696016773,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289.0,35,109,41,14,211,122,F#,Minor,81,74,71,14,0,56,4,16,3827830.5625,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812.0,52,107,15,1,325,204,F#,Major,52,52,68,46,0,15,4,165,2605029.163636364,11,2077273e-eaa1-4f49-903c-f286ededecb9,Morgan Wallen,Morgan Wallen,,,,,19357.0,164995.0,False,,,,,,,,,,,,,,,,,
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954.0,0,0,143,38,0,110,B,Minor,67,78,85,2,0,33,5,51,2498214.7843137253,3,6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Dua Lipa,Dua Lipa,United Kingdom,,synthpop; electropop; contemporary r&b,,510281.0,22356378.0,False,,,,,,,,,,,,,,,,,
